Archetypes,Under.35,Over.65,EPC,Median.Income,Tenure,Typology,Unemployment,Rurality,House.value,Fuel.Type,Fuel.consumption.total,Floor.area,Gas.flag,Number.cars,Urban.trips,Total.vkm,Urban.vkm
1,0.24,0.21,3,32673,2,3,0.13,1,112500,1,13116,72,1,0,0,0,0
2,0.17,0.26,3,36836,2,1,0.06,1,150000,1,13972,78,1,2,636,25938,15562
3,0.31,0.18,5,37668,3,6,0.08,1,161250,1,13144,60,1,0,0,0,0
4,0.25,0.14,3,26022,2,3,0.09,1,95000,1,12787,68,1,2,426,17384,10430
5,0.18,0.26,4,38396,1,3,0.05,1,161250,1,14250,81,1,2,636,25938,15562
6,0.18,0.2,2,40582,2,2,0.04,1,212000,1,14846,83,1,1,318,12969,7781
7,0.14,0.14,3,40811,1,1,0.02,1,174500,1,17690,85,1,1,318,12969,7781
8,0.12,0.27,4,41206,1,1,0.03,1,185000,1,17287,85,1,2,426,17384,10430
9,0.08,0.38,4,44015,1,2,0.02,1,240000,1,16259,91,1,1,213,8692,5215
10,0.08,0.3,5,45472,2,2,0.02,2,300000,2,4171,103,0,1,149,24522,4904
11,0.09,0.31,5,45836,2,2,0.02,2,270000,3,21261,91,0,1,149,24522,4904
12,0.17,0.21,3,50467,1,1,0.02,1,260000,1,15061,78,1,1,213,8692,5215
13,0.37,0.12,3,51820,3,6,0.06,1,429225,1,11940,63,1,0,0,0,0
14,0.2,0.21,4,55462,1,3,0.04,1,420875,1,16928,94,1,2,426,17384,10430
15,0.07,0.32,4,56710,1,2,0.02,1,460000,1,22067,129,1,1,213,8692,5215